HEAD_0, HEAD_1, HEAD_2, HEAD_3
71.839996, 188.630005, -38690.000000, -6763.000000
72.239998, 187.830002, -38770.000000, -6623.000000
72.639999, 186.990005, -38847.000000, -6485.000000
73.040001, 186.119995, -38922.000000, -6345.000000
73.440002, 185.199997, -38996.000000, -6204.000000
73.830002, 184.250000, -39068.000000, -6065.000000
74.209999, 183.250000, -39136.000000, -5928.000000
74.589996, 182.199997, -39203.000000, -5791.000000
74.980003, 181.110001, -39268.000000, -5652.000000
75.339996, 179.960007, -39329.000000, -5518.000000
75.709999, 178.750000, -39390.000000, -5382.000000
76.070000, 177.479996, -39447.000000, -5248.000000
76.430000, 176.160004, -39504.000000, -5112.000000
76.769997, 174.770004, -39557.000000, -4980.000000
77.120003, 173.300003, -39608.000000, -4846.000000
77.449997, 171.759995, -39657.000000, -4716.000000
77.769997, 170.130005, -39703.000000, -4587.000000
78.080002, 168.429993, -39747.000000, -4459.000000
78.379997, 166.630005, -39789.000000, -4334.000000
78.669998, 164.750000, -39829.000000, -4213.000000
78.949997, 162.770004, -39867.000000, -4093.000000
79.220001, 160.699997, -39903.000000, -3976.000000
79.480003, 158.520004, -39936.000000, -3860.000000
79.709999, 156.250000, -39967.000000, -3751.000000
79.930000, 153.880005, -39995.000000, -3646.000000
80.129997, 151.399994, -40021.000000, -3545.000000
80.320000, 148.830002, -40045.000000, -3449.000000
80.480003, 146.160004, -40066.000000, -3360.000000
80.629997, 143.410004, -40084.000000, -3275.000000
80.760002, 140.580002, -40101.000000, -3198.000000
80.860001, 137.679993, -40115.000000, -3129.000000
80.940002, 134.729996, -40126.000000, -3068.000000
80.989998, 131.729996, -40135.000000, -3016.000000
81.019997, 128.699997, -40143.000000, -2973.000000
81.029999, 125.660004, -40147.000000, -2939.000000
81.019997, 122.620003, -40149.000000, -2915.000000
80.980003, 119.589996, -40148.000000, -2902.000000
80.910004, 116.610001, -40145.000000, -2898.000000
80.820000, 113.669998, -40140.000000, -2907.000000
80.709999, 110.800003, -40132.000000, -2924.000000
80.580002, 108.000000, -40121.000000, -2952.000000
80.419998, 105.279999, -40108.000000, -2990.000000
80.250000, 102.650002, -40092.000000, -3037.000000
80.050003, 100.120003, -40074.000000, -3094.000000
79.839996, 97.680000, -40053.000000, -3159.000000
79.620003, 95.339996, -40029.000000, -3232.000000
79.379997, 93.110001, -40003.000000, -3312.000000
79.120003, 90.970001, -39974.000000, -3400.000000
78.849998, 88.940002, -39942.000000, -3493.000000
78.559998, 86.989998, -39908.000000, -3595.000000
78.269997, 85.150002, -39871.000000, -3701.000000
77.959999, 83.389999, -39831.000000, -3812.000000
77.650002, 81.720001, -39791.000000, -3926.000000
77.320000, 80.129997, -39748.000000, -4047.000000
76.980003, 78.620003, -39703.000000, -4171.000000
76.639999, 77.180000, -39654.000000, -4299.000000
76.290001, 75.800003, -39602.000000, -4430.000000
75.940002, 74.500000, -39548.000000, -4563.000000
75.570000, 73.269997, -39491.000000, -4701.000000
75.199997, 72.080002, -39430.000000, -4841.000000
74.830002, 70.949997, -39367.000000, -4982.000000
74.449997, 69.879997, -39301.000000, -5128.000000
74.059998, 68.849998, -39233.000000, -5273.000000
73.669998, 67.870003, -39163.000000, -5422.000000
73.279999, 66.930000, -39092.000000, -5571.000000
72.879997, 66.029999, -39017.000000, -5722.000000
72.480003, 65.169998, -38940.000000, -5874.000000
72.089996, 64.349998, -38860.000000, -6026.000000
71.680000, 63.560001, -38778.000000, -6180.000000
71.269997, 62.799999, -38691.000000, -6337.000000
70.860001, 62.070000, -38603.000000, -6491.000000
70.440002, 61.380001, -38512.000000, -6650.000000
70.019997, 60.700001, -38418.000000, -6807.000000
69.610001, 60.049999, -38324.000000, -6964.000000
69.190002, 59.430000, -38226.000000, -7123.000000
68.760002, 58.830002, -38125.000000, -7285.000000
68.339996, 58.240002, -38023.000000, -7444.000000
67.910004, 57.680000, -37917.000000, -7605.000000
67.480003, 57.139999, -37810.000000, -7763.000000
67.050003, 56.619999, -37699.000000, -7924.000000
66.620003, 56.110001, -37585.000000, -8087.000000
66.190002, 55.619999, -37470.000000, -8247.000000
65.750000, 55.150002, -37352.000000, -8409.000000
65.320000, 54.689999, -37234.000000, -8569.000000
64.879997, 54.240002, -37112.000000, -8731.000000
64.449997, 53.799999, -36987.000000, -8893.000000
64.010002, 53.380001, -36860.000000, -9054.000000
63.560001, 52.980000, -36729.000000, -9218.000000
63.130001, 52.580002, -36597.000000, -9379.000000
62.680000, 52.200001, -36462.000000, -9542.000000
62.240002, 51.810001, -36326.000000, -9702.000000
61.799999, 51.450001, -36187.000000, -9864.000000
61.349998, 51.090000, -36046.000000, -10027.000000
60.910000, 50.740002, -35902.000000, -10189.000000
60.459999, 50.410000, -35757.000000, -10351.000000
60.020000, 50.080002, -35609.000000, -10512.000000
59.570000, 49.750000, -35458.000000, -10673.000000
59.119999, 49.439999, -35304.000000, -10837.000000
58.669998, 49.130001, -35149.000000, -10998.000000
58.220001, 48.830002, -34990.000000, -11161.000000
57.770000, 48.529999, -34831.000000, -11321.000000
57.320000, 48.240002, -34668.000000, -11484.000000
56.869999, 47.959999, -34502.000000, -11647.000000
56.419998, 47.689999, -34337.000000, -11807.000000
55.970001, 47.410000, -34167.000000, -11969.000000
55.520000, 47.150002, -33994.000000, -12131.000000
55.060001, 46.889999, -33819.000000, -12293.000000
54.610001, 46.639999, -33642.000000, -12454.000000
54.160000, 46.389999, -33462.000000, -12616.000000
53.700001, 46.139999, -33281.000000, -12778.000000
53.250000, 45.910000, -33097.000000, -12940.000000
52.790001, 45.660000, -32908.000000, -13104.000000
52.340000, 45.439999, -32719.000000, -13266.000000
51.880001, 45.200001, -32527.000000, -13427.000000
51.419998, 44.980000, -32330.000000, -13591.000000
50.970001, 44.770000, -32133.000000, -13753.000000
50.520000, 44.549999, -31933.000000, -13914.000000
50.049999, 44.340000, -31727.000000, -14078.000000
49.599998, 44.130001, -31523.000000, -14239.000000
49.139999, 43.910000, -31312.000000, -14404.000000
48.680000, 43.709999, -31099.000000, -14568.000000
48.230000, 43.520000, -30887.000000, -14729.000000
47.770000, 43.310001, -30667.000000, -14893.000000
